,gene_id,gene_name
0,0,PSME2
1,1,CUEDC1
2,2,RPLP1
3,3,TM9SF3
4,4,DEF8
5,5,RPL37A
6,6,NELL1
7,7,MFGE8
8,8,AIP
9,9,TSC22D3
10,10,GEMIN6
11,11,EIF2A
12,12,GPX4
13,13,RP11-347C12.1
14,14,PGP
15,15,MOB3A
16,16,NEURL1
17,17,EIF4B
18,18,TMEM251
19,19,RASA4B
20,20,SRP14
21,21,NFKBIE
22,22,SEC11C
23,23,IGFBP7
24,24,LGALS3
25,25,RPL7
26,26,MIDN
27,27,ARPP19
28,28,ERC2
29,29,SUZ12
30,30,ALG6
31,31,WDR83OS
32,32,RPL18
33,33,DPYSL2
34,34,BNIP3
35,35,LYRM2
36,36,GSTO1
37,37,RNPEP
38,38,SLC7A11
39,39,EIF3C
40,40,PNKD
41,41,DDX5
42,42,VKORC1
43,43,LMO7
44,44,ROMO1
45,45,DNAJB1
46,46,IFITM3
47,47,IL24
48,48,POLR2L
49,49,WBSCR22
50,50,COL4A2
51,51,MINOS1
52,52,RPL23A
53,53,NDUFB6
54,54,F2R
55,55,MZT2B
56,56,HLA-B
57,57,PPP1R12A
58,58,OS9
59,59,ANKDD1A
60,60,DCN
61,61,MED9
62,62,MYL12B
63,63,BCYRN1
64,64,XRN1
65,65,TNFAIP8
66,66,MYO9B
67,67,LENG8
68,68,SNHG1
69,69,HADHA
70,70,RPL8
71,71,APOBEC3G
72,72,PLEC
73,73,DNPH1
74,74,IRF8
75,75,RP11-138I17.1
76,76,CDH1
77,77,PIK3C2B
78,78,NPLOC4
79,79,WARS
80,80,PRKAR1A
81,81,DCTN6
82,82,RPS23
83,83,NAP1L1
84,84,USO1
85,85,CEP41
86,86,MORN4
87,87,CD68
88,88,UBE2Z
89,89,MEOX2
90,90,GPS1
91,91,HNRNPR
92,92,DUT
93,93,ATP5C1
94,94,CTNND1
95,95,SNRK
96,96,LMO4
97,97,TMEM256
98,98,TMEM115
99,99,TMEM261
100,100,MICALL2
101,101,RP11-3P17.5
102,102,FMO1
103,103,TSC22D4
104,104,TAP1
105,105,CST3
106,106,PTMA
107,107,IKZF3
108,108,RPS24
109,109,HLA-DQB1
110,110,SERPINE2
111,111,TSTA3
112,112,SLC17A5
113,113,CTC-459F4.3
114,114,DLL3
115,115,TSSC4
116,116,GRPEL1
117,117,MTOR
118,118,SH2D1A
119,119,NEAT1
120,120,RPS5
121,121,PMEL
122,122,MAGOHB
123,123,VWF
124,124,RPS3
125,125,RCAN1
126,126,LSM6
127,127,BOP1
128,128,RPS14
129,129,ZFYVE21
130,130,WRNIP1
131,131,CYBRD1
132,132,ERMP1
133,133,ZNHIT1
134,134,RPL21
135,135,ZNF706
136,136,TCEA2
137,137,RPL37
138,138,ENSA
139,139,PAF1
140,140,ATP6V0B
141,141,PAX3
142,142,MXD3
143,143,TNC
144,144,HDAC3
145,145,SPCS1
146,146,RNF4
147,147,TTC37
148,148,TYMS
149,149,RPL27A
150,150,ITGA5
151,151,RPS27A
152,152,AC074033.1
153,153,RPS6
154,154,POMGNT1
155,155,PVRL2
156,156,HSPD1
157,157,EIF4A1
158,158,CYB5B
159,159,UBAC2
160,160,HUS1
161,161,SHISA2
162,162,KIAA0100
163,163,ATP6V1A
164,164,TONSL
165,165,RPL35A
166,166,GAPDH
167,167,SSR1
168,168,MDN1
169,169,RNF167
170,170,C2orf47
171,171,RPS15A
172,172,C1QB
173,173,RPS27
174,174,PYGL
175,175,SMIM15
176,176,LGI4
177,177,MBD3
178,178,PRPF8
179,179,ANXA5
180,180,RPS18
181,181,TAPBP
182,182,RGS1
183,183,WNK1
184,184,LARP4
185,185,PLTP
186,186,SPARCL1
187,187,HSBP1
188,188,ACTN4
189,189,UNC45A
190,190,POSTN
191,191,B4GALT6
192,192,HLA-E
193,193,OGDH
194,194,COMP
195,195,EIF3I
196,196,GNAS
197,197,HLA-A
198,198,TSPAN4
199,199,GTPBP4
200,200,LGALS3BP
201,201,RPL6
202,202,RFWD2
203,203,FUS
204,204,GADD45GIP1
205,205,MFF
